,CUI1,CUI2
3127,Branch of temporal branch of left facial nerve to left orbicularis oculi,Temporal branch of left facial nerve
3128,Nerve to left auricularis superior,Temporal branch of left facial nerve
3129,Branch of temporal branch of right facial nerve to frontal part of epicranial aponeurosis,Temporal branch of right facial nerve
3130,Nerve to right corrugator supercilii,Temporal branch of right facial nerve
3131,Branch of temporal branch of right facial nerve to right orbicularis oculi,Temporal branch of right facial nerve
3132,Nerve to right auricularis superior,Temporal branch of right facial nerve
3133,Nerve to left levator labii superioris,Buccal branch of left facial nerve
3134,Nerve to left zygomaticus major,Buccal branch of left facial nerve
3135,Nerve to right levator labii superioris,Buccal branch of right facial nerve
3136,Nerve to right zygomaticus major,Buccal branch of right facial nerve
3137,Branch of vagus nerve to carotid body,Vagus nerve structure
3138,Branch of zygomatic branch of facial nerve to orbicularis oculi,Facial nerve zygomatic branch
3139,Branch of zygomatic branch of left facial nerve to left orbicularis oculi,Zygomatic branch of left facial nerve
3140,Branch of zygomatic branch of right facial nerve to right orbicularis oculi,Zygomatic branch of right facial nerve
3141,Branch to ascending branch of anterior ramus of left C2,Anterior ramus of left first cervical nerve
3142,Branch to ascending branch of anterior ramus of right C2,Anterior ramus of right first cervical nerve
3143,Bronchial branch of left vagus nerve,Left vagus nerve
3144,Buccal branch of left facial nerve,Left facial nerve
3145,Buccal branch of right facial nerve,Right facial nerve
3146,C2 root of great auricular nerve,Anterior ramus of second cervical nerve
3147,C3 root of great auricular nerve,Anterior ramus of third cervical nerve
3148,C3 root of supraclavicular nerve,Anterior ramus of third cervical nerve
3149,C4 root of supraclavicular nerve,Anterior ramus of fourth cervical nerve
3150,Middle anterior division of brachial plexus,Anterior ramus of seventh cervical nerve
3151,Middle posterior division of brachial plexus,Anterior ramus of seventh cervical nerve
3152,Structure of callosomarginal branch of anterior cerebral artery,Structure of anterior cerebral artery
3153,Structure of callosomarginal branch of anterior cerebral artery,Anterior cerebral artery A2 segment
3154,Cavernous branch of internal carotid artery to trigeminal ganglion,Internal carotid artery structure
3155,Cavernous branch of internal carotid artery to trigeminal ganglion,Cavernous branch of internal carotid artery
3156,Cavernous branch of internal carotid artery to wall of cavernous sinus,Internal carotid artery structure
3157,Cavernous branch of internal carotid artery to wall of cavernous sinus,Cavernous branch of internal carotid artery
3158,Cavernous branch of internal carotid artery to wall of petrosal sinus,Internal carotid artery structure
3159,Cavernous branch of internal carotid artery to wall of petrosal sinus,Cavernous branch of internal carotid artery
3160,Cavernous branch of left internal carotid artery to left trigeminal ganglion,Structure of left internal carotid artery
3161,Cavernous branch of left internal carotid artery to wall of left cavernous sinus,Structure of left internal carotid artery
3162,Cavernous branch of left internal carotid artery to wall of left petrosal sinus,Structure of left internal carotid artery
3163,Cavernous branch of right internal carotid artery to right trigeminal ganglion,Structure of right internal carotid artery
3164,Cavernous branch of right internal carotid artery to wall of right cavernous sinus,Structure of right internal carotid artery
3165,Cavernous branch of right internal carotid artery to wall of right petrosal sinus,Structure of right internal carotid artery
3166,Cerebellar tonsillar branch of left posterior inferior cerebellar artery,Left posterior inferior cerebellar artery
3167,Cerebellar tonsillar branch of posterior inferior cerebellar artery,Structure of posterior inferior cerebellar artery
3168,Cerebellar tonsillar branch of right posterior inferior cerebellar artery,Right posterior inferior cerebellar artery
3169,Cervical branch of left facial nerve,Left facial nerve
3170,Cervical branch of right facial nerve,Right facial nerve
3171,Chiasmatic branch of left posterior communicating artery,Left posterior communicating artery
3172,Chiasmatic branch of posterior communicating artery,Structure of posterior communicating artery
3173,Chiasmatic branch of right posterior communicating artery,Right posterior communicating artery
3174,Choroidal branch of left posterior inferior cerebellar artery to fourth ventricle,Left posterior inferior cerebellar artery
3175,Choroidal branch of right posterior inferior cerebellar artery to fourth ventricle,Right posterior inferior cerebellar artery
3176,Cingular branch of callosomarginal artery,Structure of callosomarginal branch of anterior cerebral artery
3177,Cingular branch of left callosomarginal artery,Left callosomarginal artery
3178,Cingular branch of right callosomarginal artery,Right callosomarginal artery
3179,Clivus branch of internal carotid artery,Internal carotid artery structure
3180,Clivus branch of internal carotid artery,Cerebral portion of internal carotid artery
3181,Cochlear communicating branch of left vestibular nerve,Left vestibular nerve
3182,Cochlear communicating branch of right vestibular nerve,Right vestibular nerve
3183,Cochlear communicating branch of vestibular nerve,Vestibular Nerve
3184,Vagus nerve celiac branch,Structure of posterior vagal trunk
3185,Collicular artery,Structure of posterior cerebral artery
3186,Communicating branch between C1 and C2 posterior rami,Structure of suboccipital nerve
3187,Communicating branch between left C1 and C2 posterior rami,Posterior ramus of left second cervical nerve
3188,Communicating branch between left C2 and C3 posterior rami,Lateral branch of posterior ramus of left third cervical nerve
3189,Communicating branch between right C2 and C3 posterior rami,Lateral branch of posterior ramus of right third cervical nerve
3190,Communicating branch of auricular branch of left vagus nerve with left facial nerve,Auricular branch of left vagus nerve
3191,Communicating branch of auricular branch of left vagus nerve with left posterior auricular nerve,Auricular branch of left vagus nerve
3192,Communicating branch of auricular branch of right vagus nerve with right facial nerve,Auricular branch of right vagus nerve
3193,Communicating branch of auricular branch of right vagus nerve with right posterior auricular nerve,Auricular branch of right vagus nerve
3194,Communicating branch of auricular branch of vagus nerve with facial nerve,Auricular branch of vagus nerve
3195,Communicating branch of auricular branch of vagus nerve with posterior auricular nerve,Auricular branch of vagus nerve
3196,Communicating branch of auriculotemporal nerve with facial nerve,Structure of auriculotemporal nerve
3197,Communicating branch of auriculotemporal nerve with otic ganglion,Structure of auriculotemporal nerve
3198,Communicating branch of buccal branch of facial nerve with buccal nerve,Buccal branch of facial nerve
3199,Communicating branch of buccal branch of left facial nerve with left buccal nerve,Buccal branch of left facial nerve
3200,Communicating branch of buccal branch of right facial nerve with right buccal nerve,Buccal branch of right facial nerve
3201,Communicating branch of cervical branch of facial nerve with transverse cutaneous cervical nerve,Cervical branch of facial nerve
3202,Communicating branch of cervical branch of left facial nerve with left transverse cutaneous cervical nerve,Cervical branch of left facial nerve
3203,Communicating branch of cervical branch of right facial nerve with right transverse cutaneous cervical nerve,Cervical branch of right facial nerve
3204,Communicating branch of external laryngeal nerve with superior cardiac nerve,External laryngeal nerve
3205,Communicating branch of facial nerve with glossopharyngeal nerve,Facial nerve structure
3206,Communicating branch of glossopharyngeal nerve with auricular branch of vagus nerve,Glossopharyngeal nerve structure
3207,Communicating branch of glossopharyngeal nerve with auriculotemporal nerve,Glossopharyngeal nerve structure
3208,Communicating branch of glossopharyngeal nerve with chorda tympani,Glossopharyngeal nerve structure
3209,Communicating branch of greater palatine nerve with nasopalatine nerve,Greater palatine nerve
3210,Communicating branch of internal laryngeal nerve with recurrent laryngeal nerve,Internal laryngeal nerve
3211,Communicating branch of lacrimal nerve with zygomaticotemporal branch of zygomatic nerve,Structure of lacrimal nerve
3212,Communicating branch of left auriculotemporal nerve with left facial nerve,Left auriculotemporal nerve
3213,Communicating branch of left auriculotemporal nerve with left otic ganglion,Left auriculotemporal nerve
3214,Communicating branch of left external laryngeal nerve with left superior cardiac nerve,Left external laryngeal nerve
3215,Communicating branch of left facial nerve with left glossopharyngeal nerve,Left facial nerve
3216,Communicating branch of left glossopharyngeal nerve with auricular branch of left vagus nerve,Left glossopharyngeal nerve
3217,Communicating branch of left glossopharyngeal nerve with left auriculotemporal nerve,Left glossopharyngeal nerve
3218,Communicating branch of left glossopharyngeal nerve with left chorda tympani,Left glossopharyngeal nerve
